episode 176 completed, total reward = 430
episode 177 completed, total reward = 455
episode 178 completed, total reward = 410
episode 179 completed, total reward = 455
episode 180 completed, total reward = 440
episode 181 completed, total reward = 395
episode 182 completed, total reward = -150
episode 183 completed, total reward = 455
episode 184 completed, total reward = 455
episode 185 completed, total reward = -150
episode 186 completed, total reward = -150
episode 187 completed, total reward = 375
episode 188 completed, total reward = -150
episode 189 completed, total reward = 365
episode 190 completed, total reward = 430
episode 191 completed, total reward = 375
episode 192 completed, total reward = 365
episode 193 completed, total reward = -150
episode 194 completed, total reward = 425
episode 195 completed, total reward = -150
episode 196 completed, total reward = -150
episode 197 completed, total reward = -150
episode 198 completed, total reward = 435
episode 199 completed, total reward = 370
episode 200 completed, total reward = -150
episode 201 completed, total reward = 360
episode 202 completed, total reward = -150
episode 203 completed, total reward = 440
episode 204 completed, total reward = 440
episode 205 completed, total reward = 430
episode 206 completed, total reward = 370
episode 207 completed, total reward = -150
episode 208 completed, total reward = -150
episode 209 completed, total reward = 410
episode 210 completed, total reward = 415
episode 211 completed, total reward = -150
episode 212 completed, total reward = 410
episode 213 completed, total reward = -150
episode 214 completed, total reward = 355
episode 215 completed, total reward = 450
episode 216 completed, total reward = 415
episode 217 completed, total reward = 445
episode 218 completed, total reward = 435
episode 219 completed, total reward = -150
episode 220 completed, total reward = 405
episode 221 completed, total reward = 390
episode 222 completed, total reward = -150
episode 223 completed, total reward = -150
episode 224 completed, total reward = 420
episode 225 completed, total reward = 430
episode 226 completed, total reward = 440
episode 227 completed, total reward = -150
episode 228 completed, total reward = 355
episode 229 completed, total reward = 395
episode 230 completed, total reward = 375
episode 231 completed, total reward = 370
episode 232 completed, total reward = 430
episode 233 completed, total reward = 370
episode 234 completed, total reward = 455
episode 235 completed, total reward = -150
episode 236 completed, total reward = 370
episode 237 completed, total reward = -150
episode 238 completed, total reward = -150
episode 239 completed, total reward = 470
episode 240 completed, total reward = -150
episode 241 completed, total reward = 420
episode 242 completed, total reward = 375
episode 243 completed, total reward = 385
episode 244 completed, total reward = -150
episode 245 completed, total reward = 460
episode 246 completed, total reward = 410
episode 247 completed, total reward = -150
episode 248 completed, total reward = -150
episode 249 completed, total reward = 445
episode 250 completed, total reward = -150
episode 251 completed, total reward = 405
episode 252 completed, total reward = -150
episode 253 completed, total reward = 410
episode 254 completed, total reward = -150
episode 255 completed, total reward = 410
episode 256 completed, total reward = 425
episode 257 completed, total reward = 420
episode 258 completed, total reward = -150
episode 259 completed, total reward = 440
episode 260 completed, total reward = 435
episode 261 completed, total reward = 380
episode 262 completed, total reward = 390
episode 263 completed, total reward = -150
episode 264 completed, total reward = 395
episode 265 completed, total reward = 430
episode 266 completed, total reward = 425
episode 267 completed, total reward = 420
episode 268 completed, total reward = 375
episode 269 completed, total reward = 395
episode 270 completed, total reward = 415
episode 271 completed, total reward = -150
episode 272 completed, total reward = -150
episode 273 completed, total reward = 370
episode 274 completed, total reward = 380
episode 275 completed, total reward = 470
episode 276 completed, total reward = -150
episode 277 completed, total reward = 440
episode 278 completed, total reward = 410
episode 279 completed, total reward = 435
episode 280 completed, total reward = 395
episode 281 completed, total reward = -150
episode 282 completed, total reward = 425
episode 283 completed, total reward = 380
episode 284 completed, total reward = 450
episode 285 completed, total reward = -150
episode 286 completed, total reward = 420
episode 287 completed, total reward = 455
episode 288 completed, total reward = -150
episode 289 completed, total reward = 445
episode 290 completed, total reward = -150
episode 291 completed, total reward = 365
episode 292 completed, total reward = 410
episode 293 completed, total reward = 420
episode 294 completed, total reward = 445
episode 295 completed, total reward = 385
episode 296 completed, total reward = -150
episode 297 completed, total reward = 365
episode 298 completed, total reward = -150
episode 299 completed, total reward = 400
episode 300 completed, total reward = 420
episode 301 completed, total reward = -150
episode 302 completed, total reward = 445
episode 303 completed, total reward = 415
episode 304 completed, total reward = -150
episode 305 completed, total reward = 405
episode 306 completed, total reward = 445
episode 307 completed, total reward = -150
episode 308 completed, total reward = -150
episode 309 completed, total reward = 400
episode 310 completed, total reward = 425
episode 311 completed, total reward = -150
episode 312 completed, total reward = 385
episode 313 completed, total reward = 360
episode 314 completed, total reward = 365
episode 315 completed, total reward = 380
episode 316 completed, total reward = -150
episode 317 completed, total reward = -150
episode 318 completed, total reward = 445
episode 319 completed, total reward = -150
episode 320 completed, total reward = 430
episode 321 completed, total reward = 390
episode 322 completed, total reward = 410
episode 323 completed, total reward = 390
episode 324 completed, total reward = 390
episode 325 completed, total reward = -150
episode 326 completed, total reward = 450
episode 327 completed, total reward = 410
episode 328 completed, total reward = 415
episode 329 completed, total reward = 360
episode 330 completed, total reward = -150
episode 331 completed, total reward = 400
episode 332 completed, total reward = 375
episode 333 completed, total reward = 435
episode 334 completed, total reward = -150
episode 335 completed, total reward = 365
episode 336 completed, total reward = 420
episode 337 completed, total reward = 445
episode 338 completed, total reward = 410
episode 339 completed, total reward = -150
episode 340 completed, total reward = 370
episode 341 completed, total reward = -150
episode 342 completed, total reward = 400
episode 343 completed, total reward = 420
episode 344 completed, total reward = -150
episode 345 completed, total reward = -150
episode 346 completed, total reward = 395
episode 347 completed, total reward = 380
episode 348 completed, total reward = 375
episode 349 completed, total reward = 385
episode 350 completed, total reward = -150
episode 351 completed, total reward = 360
episode 352 completed, total reward = 435
episode 353 completed, total reward = -150
episode 354 completed, total reward = 445
episode 355 completed, total reward = 410
episode 356 completed, total reward = 410
episode 357 completed, total reward = 365
episode 358 completed, total reward = -150
episode 359 completed, total reward = -150
episode 360 completed, total reward = -150
episode 361 completed, total reward = 410
episode 362 completed, total reward = -150
episode 363 completed, total reward = -150
episode 364 completed, total reward = -150
episode 365 completed, total reward = 445
episode 366 completed, total reward = -150
episode 367 completed, total reward = 395
episode 368 completed, total reward = 400
episode 369 completed, total reward = -150
episode 370 completed, total reward = -150
episode 371 completed, total reward = 450
episode 372 completed, total reward = -150
episode 373 completed, total reward = 430
episode 374 completed, total reward = 390
episode 375 completed, total reward = 370
episode 376 completed, total reward = 375
episode 377 completed, total reward = -150
episode 378 completed, total reward = -150
episode 379 completed, total reward = -150
episode 380 completed, total reward = -150
episode 381 completed, total reward = 410
episode 382 completed, total reward = 440
episode 383 completed, total reward = 415
episode 384 completed, total reward = 450
episode 385 completed, total reward = -150
episode 386 completed, total reward = 435
episode 387 completed, total reward = 425
episode 388 completed, total reward = -150
episode 389 completed, total reward = 415
episode 390 completed, total reward = 415
episode 391 completed, total reward = 435
episode 392 completed, total reward = 440
episode 393 completed, total reward = -150
episode 394 completed, total reward = 450
episode 395 completed, total reward = 415
episode 396 completed, total reward = -150
episode 397 completed, total reward = 410
episode 398 completed, total reward = 365
episode 399 completed, total reward = 435
episode 400 completed, total reward = 385
episode 401 completed, total reward = 405
episode 402 completed, total reward = -150
episode 403 completed, total reward = -150
episode 404 completed, total reward = 410
episode 405 completed, total reward = 395
episode 406 completed, total reward = 440
episode 407 completed, total reward = 405
episode 408 completed, total reward = 440
episode 409 completed, total reward = -150
episode 410 completed, total reward = -150
episode 411 completed, total reward = -150
episode 412 completed, total reward = -150
episode 413 completed, total reward = -150
episode 414 completed, total reward = 360
episode 415 completed, total reward = 405
episode 416 completed, total reward = 390
episode 417 completed, total reward = 415
episode 418 completed, total reward = 465
episode 419 completed, total reward = -150
episode 420 completed, total reward = 430
episode 421 completed, total reward = -150
episode 422 completed, total reward = 415
episode 423 completed, total reward = 355
episode 424 completed, total reward = 415
episode 425 completed, total reward = 455
episode 426 completed, total reward = 435
episode 427 completed, total reward = -150
episode 428 completed, total reward = 430
episode 429 completed, total reward = -150
episode 430 completed, total reward = -150
episode 431 completed, total reward = 450
episode 432 completed, total reward = 425
episode 433 completed, total reward = 450
episode 434 completed, total reward = 410
episode 435 completed, total reward = 440
episode 436 completed, total reward = 405
episode 437 completed, total reward = -150
episode 438 completed, total reward = 355
episode 439 completed, total reward = -150
episode 440 completed, total reward = -150
episode 441 completed, total reward = -150
episode 442 completed, total reward = -150
episode 443 completed, total reward = 400
episode 444 completed, total reward = 400
episode 445 completed, total reward = 410
episode 446 completed, total reward = 440
episode 447 completed, total reward = 380
episode 448 completed, total reward = -150
episode 449 completed, total reward = 405
episode 450 completed, total reward = 400
episode 451 completed, total reward = 440
episode 452 completed, total reward = 435
episode 453 completed, total reward = -150
episode 454 completed, total reward = 390
episode 455 completed, total reward = 395
episode 456 completed, total reward = -150
episode 457 completed, total reward = -150
episode 458 completed, total reward = 430
episode 459 completed, total reward = -150
episode 460 completed, total reward = 425
episode 461 completed, total reward = -150
episode 462 completed, total reward = 460
episode 463 completed, total reward = 430
episode 464 completed, total reward = 420
episode 465 completed, total reward = 405
episode 466 completed, total reward = -150
episode 467 completed, total reward = 435
episode 468 completed, total reward = 355
episode 469 completed, total reward = 370
episode 470 completed, total reward = -150
episode 471 completed, total reward = -150
episode 472 completed, total reward = 440
episode 473 completed, total reward = 400
episode 474 completed, total reward = 425
episode 475 completed, total reward = -150
episode 476 completed, total reward = 430
episode 477 completed, total reward = 385
episode 478 completed, total reward = -150
episode 479 completed, total reward = 365
episode 480 completed, total reward = -150
episode 481 completed, total reward = 385
episode 482 completed, total reward = 430
episode 483 completed, total reward = 385
episode 484 completed, total reward = 400
episode 485 completed, total reward = 390
episode 486 completed, total reward = 410
episode 487 completed, total reward = -150
episode 488 completed, total reward = -150
episode 489 completed, total reward = 460
episode 490 completed, total reward = 415
episode 491 completed, total reward = 405
episode 492 completed, total reward = 355
episode 493 completed, total reward = 380
episode 494 completed, total reward = 380
episode 495 completed, total reward = 435
episode 496 completed, total reward = -150
episode 497 completed, total reward = -150
episode 498 completed, total reward = -150
episode 499 completed, total reward = 430
episode 500 completed, total reward = 415
episode 501 completed, total reward = 415
episode 502 completed, total reward = 380
episode 503 completed, total reward = 435
episode 504 completed, total reward = 390
episode 505 completed, total reward = 370
episode 506 completed, total reward = 405
episode 507 completed, total reward = 425
episode 508 completed, total reward = 470
episode 509 completed, total reward = 365
episode 510 completed, total reward = -150
episode 511 completed, total reward = 455
episode 512 completed, total reward = 445
episode 513 completed, total reward = -150
episode 514 completed, total reward = 430
episode 515 completed, total reward = 390
episode 516 completed, total reward = 360
episode 517 completed, total reward = 420
episode 518 completed, total reward = 450
episode 519 completed, total reward = 460
episode 520 completed, total reward = -150
episode 521 completed, total reward = 440
episode 522 completed, total reward = 440
episode 523 completed, total reward = -150
episode 524 completed, total reward = -150
episode 525 completed, total reward = 445
episode 526 completed, total reward = -150
episode 527 completed, total reward = 425
episode 528 completed, total reward = 415
episode 529 completed, total reward = 450
episode 530 completed, total reward = -150
episode 531 completed, total reward = 400
episode 532 completed, total reward = 435
episode 533 completed, total reward = -150
episode 534 completed, total reward = -150
episode 535 completed, total reward = 450
episode 536 completed, total reward = -150
episode 537 completed, total reward = 455
episode 538 completed, total reward = 440
episode 539 completed, total reward = 365
episode 540 completed, total reward = 385
episode 541 completed, total reward = 450
episode 542 completed, total reward = 465
episode 543 completed, total reward = 430
episode 544 completed, total reward = 395
episode 545 completed, total reward = 415
episode 546 completed, total reward = 435
episode 547 completed, total reward = 380
episode 548 completed, total reward = 410
episode 549 completed, total reward = 380
episode 550 completed, total reward = 420
episode 551 completed, total reward = 355
episode 552 completed, total reward = -150
episode 553 completed, total reward = 360
episode 554 completed, total reward = 425
